title,location,price,bedroom,bathroom,area,year_contruction,maintenance,housing_type,operation_type,date_pub,url,price_clean,area_clean,bedroom_clean,bathroom_clean,district,security_score,safety_score,cost_score,services_score,final_score
Casa en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,900",5 dormitorios,5 baños,186 m²,2000.0,,Casa,Alquiler,21 feb. 2023 - Publicado por REMAX UNITED,https://www.properati.com.pe/detalle/14032-32-8be4-cfcff68ca856-51bb9f0f-a408-4687,7030.0,186.0,5,5,SAN ISIDRO,8.86,8.86,9.98978494623656,9.04,9.35
Apartamento en alquiler en Ur. Santa Rosa,"Ur. Santa Rosa, San Isidro, Lima, Lima ","USD3,500",4 dormitorios,5 baños,504 m²,2000.0,"S/.1,900",Apartamento,Alquiler,24 mar. 2023 - Publicado por Rocío Mazzetti,https://www.properati.com.pe/detalle/14032-32-3e0-f282faf7e3e6-a827f502-a0bc-47ed,12950.0,504.0,4,5,SAN ISIDRO,8.86,8.86,9.993055555555555,9.04,9.35
Casa en alquiler en Ur. Orrantia Del Mar Zona Iv,"Ur. Orrantia Del Mar Zona Iv, San Isidro, Lima, Lima ","USD2,000",3 dormitorios,5 baños,313 m²,2000.0,,Casa,Alquiler,2 dic. 2022 - Publicado por Madeleine Beltran,https://www.properati.com.pe/detalle/14032-32-d9d9-d1070f73140b-2d956fb8-9fb5-4258,7400.0,313.0,3,5,SAN ISIDRO,8.86,8.86,9.993610223642172,9.04,9.35
Casa en alquiler en Ur. El Sol De La Molina Etapa Iii,"Ur. El Sol De La Molina Etapa Iii, La Molina, Lima, Lima ","USD2,500",4 dormitorios,4 baños,258 m²,2001.0,,Casa,Alquiler,14 ene. 2023 - Publicado por Ventas Primeras Bienes Raices,https://www.properati.com.pe/detalle/14032-32-f90a-32d7c1aec14-4a0d4104-ac66-46b4,9250.0,258.0,4,4,LA MOLINA,8.83,8.83,9.99031007751938,9.08,9.34
Casa en alquiler en Ur. San Miguel,"Ur. San Miguel, San Miguel, Lima, Lima ","S/.4,400",4 dormitorios,3 baños,160 m²,2007.0,S/.10,Casa,Alquiler,19 dic. 2022 - Publicado por joresco real estate,https://www.properati.com.pe/detalle/14032-32-8017-27092107870f-83e25030-8dc3-120d,4400.0,160.0,4,3,SAN MIGUEL,8.7,8.7,9.992567567567567,9.32,9.34
Apartamento en alquiler en Ur. Country Club,"Ur. Country Club, San Isidro, Lima, Lima ","USD1,700",3 dormitorios,3 baños,160 m²,2014.0,S/.850,Apartamento,Alquiler,22 mar. 2023 - Publicado por Rocío Mazzetti,https://www.properati.com.pe/detalle/14032-32-4e2c-857814eee6df-7636074d-a6c9-4c25,6290.0,160.0,3,3,SAN ISIDRO,8.86,8.86,9.989375,9.0,9.34
Apartamento en alquiler en Ur. Santa Ines,"Ur. Santa Ines, San Isidro, Lima, Lima ","USD1,500",3 dormitorios,3 baños,175 m²,2014.0,S/.650,Apartamento,Alquiler,"Hace 2 semanas, 3 días - Publicado por JORGE ERNESTO SALAS GONZALES",https://www.properati.com.pe/detalle/14032-32-b545-bde684e638e9-6c4ce74a-a458-4739,5550.0,175.0,3,3,SAN ISIDRO,8.86,8.86,9.991428571428571,9.0,9.34
Apartamento en alquiler en Ur. Chacarilla Del Estanque,"Ur. Chacarilla Del Estanque, San Borja, Lima, Lima ","USD1,500",3 dormitorios,3 baños,140 m²,2014.0,,Apartamento,Alquiler,20 mar. 2023 - Publicado por Remax Integrity,https://www.properati.com.pe/detalle/14032-32-290f-6b616d72b45f-c144a006-be81-4440,5550.0,140.0,3,3,SAN BORJA,8.86,8.86,9.989285714285714,9.0,9.34
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ","USD1,150",3 dormitorios,3 baños,150 m²,2014.0,S/.550,Apartamento,Alquiler,27 feb. 2023 - Publicado por CARLA EMPERATRIZ NEIRA SILVA,https://www.properati.com.pe/detalle/14032-32-461c-73902c68c930-8798efc6-a195-4eba,4255.0,150.0,3,3,SAN ISIDRO,8.86,8.86,9.992333333333333,9.0,9.34
Apartamento en alquiler en Ur. Campo De Polo,"Ur. Campo De Polo, San Isidro, Lima, Lima ","USD1,400",3 dormitorios,3 baños,176 m²,2014.0,"S/.1,360",Apartamento,Alquiler,16 nov. 2022 - Publicado por ANA MARIA CECILIA ARTEAGA RODRIGUEZ,https://www.properati.com.pe/detalle/14032-32-67e-7961ec75091a-4f396479-8531-46a1,5180.0,176.0,3,3,SAN ISIDRO,8.86,8.86,9.992045454545455,9.0,9.34
Casa en alquiler en Ur. Rinconada Del Lago Etapa Ii,"Ur. Rinconada Del Lago Etapa Ii, La Molina, Lima, Lima ","USD3,000",4 dormitorios,5 baños,650 m²,2000.0,,Casa,Alquiler,24 mar. 2023 - Publicado por ISMAEL RIVAS OTERO,https://www.properati.com.pe/detalle/14032-32-54a8-5c778da00117-93355314-b152-4568,11100.0,650.0,4,5,LA MOLINA,8.83,8.83,9.995384615384616,9.04,9.34
Apartamento en alquiler en Ur. Orrantia,"Ur. Orrantia, San Isidro, Lima, Lima ","USD1,200",3 dormitorios,3 baños,160 m²,2012.0,S/.580,Apartamento,Alquiler,2 ene. 2023 - Publicado por Oscar Leandro Peña Villanueva,https://www.properati.com.pe/detalle/14032-32-923d-839d0497658d-6bf06a1e-9ecd-4a74,4440.0,160.0,3,3,SAN ISIDRO,8.86,8.86,9.9925,8.92,9.33
Apartamento en alquiler en Ur. Confraternidad,"Ur. Confraternidad, Barranco, Lima, Lima ",USD980,3 dormitorios,2 baños,96 m²,2020.0,S/.360,Apartamento,Alquiler,"Hace 4 días, 17 horas - Publicado por Remax Concept",https://www.properati.com.pe/detalle/14032-32-6cf9-310b98421e59-547f52f5-8e38-44aa,3626.0,96.0,3,2,BARRANCO,9.17,9.17,9.989791666666667,8.34,9.33
Apartamento en alquiler en Ur. Monterrico Norte,"Ur. Monterrico Norte, San Borja, Lima, Lima ","USD1,150",5 dormitorios,3 baños,232 m²,1998.0,S/.300,Apartamento,Alquiler,21 feb. 2023 - Publicado por CENTURY 21 AVANZA,https://www.properati.com.pe/detalle/14032-32-bb0-83c8bd20077a-97f9a96-8602-49e4,4255.0,232.0,5,3,SAN BORJA,8.86,8.86,9.995043103448275,8.96,9.33
